Professor,Course
"Agarwal, Siddhant",CS 421 | Natural Language Processing
"Aggarwal, Suresh",ME 392 | Undergraduate Research
"Aggarwal, Suresh",ME 596 | Independent Study
"Aggarwal, Suresh",ME 598 | M.S. Thesis Research
"Aggarwal, Suresh",ME 599 | Ph.D. Thesis Research
"Aggrawal, Deepika",ECE 310 | Discrete and Continuous Signals and Systems
"Aggrawal, Deepika",ECE 396 | Senior Design I
"Aggrawal, Deepika",ECE 397 | Senior Design II
"Aghapour Sabbagh, Mohammad",CS 466 | Computer Architecture
"Aghapour Sabbagh, Mohammad",CS 569 | High-Performance Processors and Systems
"Aghapour Sabbagh, Mohammad",ECE 225 | Circuit Analysis
"Aghapour Sabbagh, Mohammad",ECE 466 | Computer Architecture
"Aghapour Sabbagh, Mohammad",ECE 569 | High-Performance Processors and Systems
"Agnani, Sunil",ENGL 207 | Interpretation and Critical Analysis
"Agnani, Sunil",ENGL 223 | Introduction to Colonial and Postcolonial Literature
"Agnani, Sunil",ENGL 379 | Independent Study in English
"Agnani, Sunil",ENGL 414 | Topics in Restoration and Eighteenth-century Literature and Culture
"Agnani, Sunil",ENGL 596 | Independent Study
"Agnani, Sunil",ENGL 599 | PhD Thesis Research
"Agnani, Sunil",HIST 282 | Global Enlightenment: Empire and the 18th-Century European Imagination of the World
"Agnani, Sunil",HIST 399 | Independent Study: Special Topics
"Agnani, Sunil",HIST 596 | Independent Study
"Agnani, Sunil",HIST 599 | Ph.D. Thesis Research
"Agnew, Peter",PHYS 141 | General Physics I (Mechanics)
"Aguiar, Joshua",HIM 367 | Systems Analysis
"Aguiar, Joshua",HIM 450 | Health Information Technology and Systems
"Aguila-Corrales, Juanita",CLER 618 | Peoria Pediatrics Clerkship
"Aguilar Saucedo, Luis",SPAN 103 | Intermediate Spanish I
"Aguilar, Alberto",ART 530 | Advanced Graduate Critique
"Aguilar, Elizabeth",SPAN 104 | Intermediate Spanish II
"Aguilar, Sarah",ART 112 | Intro to Drawing(Major Only)
"Aguirre, Araceli",GC 500 | Chicago Metropolitan Exchange Program
"Aguirre, Celeste",GLAS 495 | Independent Study
"Ahmad, Noaman",CS 194 | Hands-on Rust: Practical Intro
"Ahmad, Noaman",CS 461 | Operating Systems Design and Implementation
"Ahmad, Sharjeel",CLER 620 | Peoria Medicine Clerkship
"Ahmad, Sharjeel",MDP 602 | Block 2: Pathogenesis
"Ahmadi, Zabihulla",DAOB 333 | Applied Oral and Behavioral Sciences VIII
"Ahmadi, Zabihulla",DAOB 341 | Applied Oral and Behavioral Sciences IX
"Ahmadi, Zabihulla",DAOB 342 | Applied Oral and Behavioral Sciences X
"Ahmadi, Zabihulla",DAOB 343 | Applied Oral and Behavioral Sciences XI
"Ahmadian, Leila",OSCI 598 | Master&#39;s Thesis Research
